Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value
Sclerostegia,Amaranthaceae,Caryophyllales,0,0,1,1,0.041463415,.,.,.,.,.,.,.,.
Scolymus,Asteraceae,Asterales,0,0,0.5,0,0.00210989,.,.,.,1,.,.,.,.
Scorpiurus,Fabaceae,Fabales,0,0,0,0,0.096494845,.,.,.,1,.,.,0.4,.
Scorzonera,Asteraceae,Asterales,0.264550265,0.035714286,0.94265233,0,0.00210989,.,1,0.875,1,.,.,3.895,52.46568928
Scrophularia,Scrophulariaceae,Lamiales,0,0,0.885416667,0.0625,0.001764706,.,1,0.666666667,1,.,.,0.871666667,21.66306646
Scutellaria,Lamiaceae,Lamiales,0.354609929,0.083333333,0.989583333,0.014285714,0.004320557,.,1,0.5,1,2,.,0.4,.
Sebaea,Gentianaceae,Gentianales,0,0,0,0,0,0,.,.,1,.,.,.,.
Secale,Poaceae,Poales,0,0,0.333333333,0,0.074314214,.,.,.,.,.,0.92,8.391538462,3.196229888
Sedum,Crassulaceae,Saxifragales,0,0,0.825,0.033333333,0,.,1,0.69047619,1,.,.,1.413181818,135.5738612
Selaginella,Selaginellaceae,Lycophyta,0,0,0.961538462,0,0,.,1,0.75,1,1.25,.,0.152941176,46.52281404
Selinum,Apiaceae,Apiales,0,0,1,0,0.003968254,.,1,1,1,.,.,4.24,5.336654952
Sempervivum,Crassulaceae,Saxifragales,1,0.12,1,0,0,.,1,0,1,.,.,.,.
Senecio,Asteraceae,Asterales,0.087336245,0.1,0.764864865,0.068669528,0.00210989,0,1,0.75,0.985714286,2.166666667,0.5185,4.918229167,71.45039678
Senna,Fabaceae,Fabales,0,0,0.933333333,0.722222222,0.096494845,1,.,.,1,1.5,0.689,0.894,41.20422374
Serapias,Orchidaceae,Asparagales,0,0,1,0,0,.,.,1,1,.,.,.,.
Serratula,Asteraceae,Asterales,0,0,1,0,0.00210989,.,1,0.5,1,.,.,.,.
Sesamoides,Resedaceae,Brassicales,0,0,1,0,0.026666667,.,.,.,.,.,.,.,.
Sesbania,Fabaceae,Fabales,0,0,1,1,0.096494845,1,.,.,1,.,0.681,1.315,0
Seseli,Apiaceae,Apiales,0,0,0.852941176,0,0.003968254,.,1,1,1,.,.,1.88,1.504482513
Sesleria,Poaceae,Poales,1.6,0.2,1,0,0.074314214,.,1,0.5,0,.,.,6.006923077,33.31003306
Setaria,Poaceae,Poales,0.128205128,0.025,0.225,0,0.074314214,.,1,1,0,0,.,1.388,43.61571032
Shepherdia,Elaeagnaceae,Rosales,0,0,1,1,0,.,.,.,.,.,.,.,.
Sibara,Brassicaceae,Brassicales,0,0,0,0,0.00485306,.,.,.,.,.,.,.,.
Sibbaldia,Rosaceae,Rosales,0,0,1,1,0.001060071,.,1,0.5,1,.,.,.,.
Sibthorpia,Plantaginaceae,Lamiales,0,0,1,0,0.005925926,.,.,0.5,.,.,.,.,.
Sicyos,Cucurbitaceae,Cucurbitales,1.098901099,0.071428571,0.285714286,0.071428571,0.024852071,.,.,.,1,.,.,.,.
Sida,Malvaceae,Malvales,0,0,0.861111111,0.25,0.006153846,0,.,.,1,.,.,0.98,.
Sidalcea,Malvaceae,Malvales,0,0,0.82,0.02,0.006153846,.,.,.,.,.,.,.,.
Sidastrum,Malvaceae,Malvales,0,0,1,0.5,0.006153846,.,.,.,.,.,.,.,.
Sideritis,Lamiaceae,Lamiales,0,0,0.857142857,0.107142857,0.004320557,.,.,.,1,.,.,1.878571429,5.970752188
Sigesbeckia,Asteraceae,Asterales,0,0,0,0,0.00210989,.,1,1,1,.,.,.,.
Silene,Caryophyllaceae,Caryophyllales,0.007905138,0.010869565,0.612403101,0.007246377,0.001818182,0,1,0.92,0.983333333,3.166666667,0.8765,2.411428571,28.51414179
Silphium,Asteraceae,Asterales,0,0,1,0,0.00210989,.,.,.,.,.,.,.,.
Silybum,Asteraceae,Asterales,0,0,0,0,0.00210989,.,1,1,1,.,0.02,.,.
Sinapis,Brassicaceae,Brassicales,0,0,0.083333333,0,0.00485306,.,1,1,1,.,.,0.526,0.694198425
Sisymbrella,Brassicaceae,Brassicales,0,0,0.5,0,0.00485306,.,.,.,.,.,.,0.36,.
Sisymbrium,Brassicaceae,Brassicales,0,0,0.114583333,0,0.00485306,.,1,0.944444444,1,.,.,0.377142857,46.40061327
Sisyrinchium,Iridaceae,Asparagales,0,0,0.955882353,0,0,.,1,0.5,1,.,.,1.931428571,50.01870713
Sitanion,Poaceae,Poales,200,1,1,0,0.074314214,.,.,.,.,.,.,.,.
Sium,Apiaceae,Apiales,0,0,1,0,0.003968254,.,1,0.5,1,2.5,.,.,.
Smilacina,Asparagaceae,Asparagales,0,0,1,0,0,.,.,.,.,.,.,.,.
Smilax,Smilacaceae,Liliales,0,0,1,0.4,0,0,.,.,0.525,.,.,4.16,42.15204378
Smyrnium,Apiaceae,Apiales,0,0,0,0,0.003968254,.,1,1,1,.,.,2.82,.
Solanum,Solanaceae,Solanales,0.055096419,0.033057851,0.681818182,0.3,0.089837398,0.021276596,1,0.875,1,1.833333333,0.47875,1.522166667,65.71144406
Soldanella,Primulaceae,Ericales,0,0,1,0,0,.,1,0.5,1,.,.,3.88,83.83224725
Solenanthus,Boraginaceae,Boraginales,0,0,0.5,0,0.001824818,.,.,.,.,4,.,.,.
Solenogyne,Asteraceae,Asterales,0,0,1,0,0.00210989,.,.,.,.,.,.,.,.
Solidago,Asteraceae,Asterales,0.124223602,0.042857143,1,0,0.00210989,.,1,0.5,1,.,0.935,1.29,25.48578562
Soliva,Asteraceae,Asterales,0,0,0,0,0.00210989,.,.,.,.,.,.,.,.
Sonchus,Asteraceae,Asterales,0.738916256,0.103448276,0.403497409,0,0.00210989,0,1,0.75,1,.,.,1.444166667,16.25113995
Sophora,Fabaceae,Fabales,0,0,1,0.6,0.096494845,.,.,.,.,3,.,2.04,.
Sorbaria,Rosaceae,Rosales,0,0,1,1,0.001060071,.,1,1,1,.,.,.,.
Sorbus,Rosaceae,Rosales,0.721954832,0.263513514,1,1,0.001060071,.,0.608695652,0.961538462,1,2.270833333,.,0.912,30.78670196
Sorghum,Poaceae,Poales,0,0,0.533333333,0,0.074314214,.,1,0.5,0.5,.,0.369666667,2.196086957,45.42435781
Sparaxis,Iridaceae,Asparagales,0,0,1,0,0,0.25,.,.,.,.,.,.,.
Sparganium,Typhaceae,Poales,2.53968254,0.444444444,1,0,0,.,1,0.5,0,.,.,0.565,0
Spartina,Poaceae,Poales,1.086956522,0.125,1,0,0.074314214,.,1,0.125,0,.,0.782,5.45,.
Spergula,Caryophyllaceae,Caryophyllales,0,0,0.125,0,0.001818182,.,1,1,1,.,.,1.05,.
Spergularia,Caryophyllaceae,Caryophyllales,0.088652482,0.020833333,0.364661654,0,0.001818182,.,1,1,1,.,0.0675,.,.
Spermacoce,Rubiaceae,Gentianales,0,0,0.25,0,6.00E-04,0,.,.,1,.,.,.,.
Spermolepis,Apiaceae,Apiales,0,0,0,0,0.003968254,.,.,.,.,.,.,.,.
Sphaeralcea,Malvaceae,Malvales,0.333333333,0.04,0.961538462,0,0.006153846,.,.,.,.,.,.,.,.
Sphaerolobium,Fabaceae,Fabales,0,0,1,1,0.096494845,.,.,.,.,.,.,.,.
Sphaeromeria,Asteraceae,Asterales,0,0,1,0.625,0.00210989,.,.,.,.,.,.,.,.
Sphenopholis,Poaceae,Poales,0,0,1,0,0.074314214,.,.,.,.,.,.,.,.
Spinacia,Amaranthaceae,Caryophyllales,0,0,0,0,0.041463415,.,.,.,.,.,.,1.06,0
Spiraea,Rosaceae,Rosales,1.008403361,0.171428571,1,1,0.001060071,.,1,0.6875,1,.,.,0.54875,52.11460507
Spiranthes,Orchidaceae,Asparagales,0.56980057,0.074074074,1,0,0,.,1,0.333333333,1,.,.,.,.
Spirodela,Araceae,Alismatales,0,0,1,0,0.000248447,.,1,0,1,.,.,0.28,35.8627865
Sporobolus,Poaceae,Poales,0,0,0.837209302,0,0.074314214,.,1,1,0,3.5,.,.,.
Spyridium,Rhamnaceae,Rosales,7.142857143,0.214285714,1,1,0.004444444,.,.,.,.,.,.,.,.
Stachys,Lamiaceae,Lamiales,0.052246604,0.022727273,0.856321839,0.011363636,0.004320557,1,1,0.65,1,1.25,.,2.277777778,83.47368738
